date,time,artist,title,genre,deezer_link
2026-09-05,Live,Johannes Brahms,Symphony No. 4,Unknown,https://www.deezer.com/track/1721666967
2026-09-05,11:16,Ludwig van Beethoven,Piano Concerto No. 2,Unknown,https://www.deezer.com/track/4538933
2026-09-05,11:02,Louise Farrenc,Overture No. 2,Unknown,https://www.deezer.com/track/2997223801
2026-09-05,10:55,Spell Songs,Senegal,Unknown,https://www.deezer.com/track/4135347341
2026-09-05,10:51,Saly Kouyaté,Dounougna,Unknown,https://www.deezer.com/track/3871117131
2026-09-05,10:47,Jocelyn Balu,YA NZAMBE,Unknown,https://www.deezer.com/track/3834940911
2026-09-05,10:43,John Mwale,Shirikisho la Africa,Unknown,https://www.deezer.com/track/3325873121
2026-09-05,10:40,Jimmie Lasco,Cherie Mupenzi,Unknown,https://www.deezer.com/track/3789277512
2026-09-05,10:28,Huw Marc Bennett,Carol Haf (Summer Carol),Unknown,https://www.deezer.com/track/3864264661
2026-09-05,10:25,Mari Mathias,Pan Mae'r Glaw Yn Dod I Lawr,Unknown,https://www.deezer.com/track/4033269711
2026-09-05,10:14,Antti Paalanen,Laulu luonnolle,Unknown,https://www.deezer.com/track/3976586491
2026-09-05,10:12,Lads d'Alenquer,"Meninas, Vamos Ao Vira",Unknown,https://www.deezer.com/track/4075932021
2026-09-05,10:05,Műhely Banda,FriciGéza fantázia,Unknown,https://www.deezer.com/track/3803872812
2026-09-05,10:01,Abéu,RE3MBÁU - Muñeira,Unknown,https://www.deezer.com/track/3967354591
2026-09-05,09:41,Eddie Barbash,Danca Da Fauna,Unknown,https://www.deezer.com/track/1364986492
2026-09-05,09:26,Joni Mitchell,Carey,Unknown,https://www.deezer.com/track/2607670
2026-09-05,09:18,Fanny Mendelssohn,Notturno in G Minor,Unknown,https://www.deezer.com/track/2929726271
2026-09-05,09:18,Johann Sebastian Bach,"Sarabande (Partita No 4 in D Major, BWV 828)",Unknown,https://www.deezer.com/track/1873382827
2026-09-05,09:01,Darius Milhaud,Brazileira (Scaramouche Suite),Unknown,https://www.deezer.com/track/2655256262
2026-09-05,08:44,Jon Brion,"Lady Bird: ""Lady Bird""",Unknown,https://www.deezer.com/track/424999642
2026-09-05,08:22,John Williams,"Hook: ""You Are the Pan""",Unknown,https://www.deezer.com/track/4222884612
2026-09-05,08:14,London Metropolitan Orchestra & Michael Kamen,"Mr. Holland's Opus: ""Mr. Holland Begins""",Unknown,https://www.deezer.com/track/1762354787
2026-09-05,08:06,Maurice Jarre,"Dead Poets' Society: ""Keating's Triumph""",Unknown,https://www.deezer.com/track/2112921497
2026-09-05,08:01,Justin Hurwitz,"Whiplash: ""Overture""",Unknown,https://www.deezer.com/track/1398706552
2026-09-05,06:41,Johann Sebastian Bach,Cantata BWV.156 'Ich steh' mit einem Fuss im Grabe' (Sinfonia),Unknown,https://www.deezer.com/track/137153636
2026-09-05,06:04,Claudio Monteverdi,Duo seraphim (Vespers),Unknown,https://www.deezer.com/track/2626487032
2026-09-05,05:11,Ludwig van Beethoven,Wellington's Victory,Unknown,https://www.deezer.com/track/1713193117
